"Price","Mileage","City","State","Make","Model","vehicle age"
"46998","4075","Palatine"," IL","Acura","MDXSH-AWD","3.0"
"39000","4088","Richmond"," VA","Acura","RDXAWD","3.0"
"32286","4090","League City"," TX","Acura","RDXFWD","3.0"
"34995","4091","Cleveland"," OH","Acura","TLXSH-AWD","3.0"
"33995","4113","Brentwood"," TN","Acura","RDXAWD","3.0"
"32988","4119","Fremont"," CA","Acura","TLXFWD","3.0"
"29900","4124","Austin"," TX","Acura","TLXFWD","4.0"
"32204","4158","Larchmont"," NY","Acura","TLXFWD","3.0"
"30990","4168","Chesapeake"," VA","Acura","RDXFWD","4.0"
"34994","4168","Langhorne"," PA","Acura","RDXAWD","3.0"
"43590","4174","Clearwater"," FL","Acura","MDXFWD","3.0"
"36995","4175","Brentwood"," TN","Acura","RDXFWD","3.0"
"37990","4180","Chapel Hill"," NC","Acura","RDXFWD","3.0"
"33950","4188","Fort Worth"," TX","Acura","TLXSH-AWD","4.0"
"26699","4188","Las Vegas"," NV","Acura","RDXAWD","3.0"
"33595","4189","Scarsdale"," NY","Acura","RDXAWD","3.0"
"34600","4190","Austin"," TX","Acura","TLXFWD","3.0"
"35995","4195","Canton"," CT","Acura","RDXAWD","3.0"
"46000","4199","Littleton"," CO","Acura","MDXSH-AWD","3.0"
"45939","4225","Hoffman Estates"," IL","Acura","MDXSH-AWD","3.0"
"47988","4225","Knoxville"," TN","Acura","MDXSH-AWD","3.0"
"41988","4235","Portland"," OR","Acura","RDXAWD","3.0"
"42500","4246","Dallas"," TX","Acura","MDXFWD","3.0"
"42988","4249","Mt. Juliet"," TN","Acura","MDXSH-AWD","4.0"
"33900","4250","Salt Lake City"," UT","Acura","RDXAWD","3.0"
"42900","4250","Salt Lake City"," UT","Acura","RDXAWD","2.0"
"42500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"42500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"35900","4250","Salt Lake City"," UT","Acura","RDXAWD","2.0"
"46500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"46500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"46500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
